isbn|title|description|authorId
821596005-7|Innocent Blood|It's a Disaster|70
300959246-9|What's in a Name (Prénom, Le)|Home Song Stories, The|32
426084889-5|Tarzan's New York Adventure|Love and Pigeons|64
555641956-6|Buena Vista Social Club|Oliver Twist|36
360088672-X|Shepherd: Border Patrol, The|Dug's Special Mission|93
931146182-2|Superclásico|Sprung|8
008228864-X|Roommates|Molokai (Molokai: The Story of Father Damien)|99
222083118-3|Forget Baghdad: Jews and Arabs - The Iraqi Connection|Shinobi: Heart Under Blade|20
503171585-5|Jaws: The Revenge|Maniac|98
794811733-4|Bottle Shock|Marketa Lazarová|94
135267380-0|Eichmann|Day of the Crows, The (Le jour des corneilles)|8
549265783-6|Genocide (Konchû daisensô)|Anatahan|16
496051914-2|Powers of Ten|Spy Next Door, The|1
552033549-4|Red Dawn|Neighbors|48
329265285-5|Who's Afraid of Virginia Woolf?|Downhill Racer|6
824027430-7|Black Hawk Down|13 Tzameti|69
485366482-3|Guilty (Présumé coupable)|Archangel|61
316377669-8|Lucrèce Borgia|When We Leave (Die Fremde)|95
119321473-4|Hiding Cot (Piilopirtti)|Glimmer Man, The|27
323615208-7|Sleepless Night (Nuit blanche)|Planes, Trains & Automobiles|34
467590718-0|Cowboy del Amor|Body Double|7
389031945-9|Grand Budapest Hotel, The|Year Zero: The Silent Death of Cambodia|50
256923006-5|Creature from Black Lake |Bombardier|36
683546062-8|Being There|Exorcist II: The Heretic|57
348833843-6|The Eagle and the Hawk|His Name Was Jason: 30 Years of Friday the 13th|81
421174100-4|Girl of the Golden West|Hercules|12
654463833-1|Westerner, The|Whisper of the Heart (Mimi wo sumaseba)|87
251623866-5|Bajo la Sal (Under the Salt)|Mortal Storm, The|3
162751964-5|¡Alambrista! (Illegal, The)|35 Shots of Rum (35 rhums)|13
198706131-4|Luther|Neighbours|12
846723160-2|Sugar & Spice|Teenage Dirtbag|19
990399328-5|Midnight Dancers (Sibak)|Shadrach|67
768482688-3|Maximum Overdrive|Naughty Marietta|15
226030036-7|3 Rooms of Melancholia, The (Melancholian 3 huonetta)|Snow Creature, The|87
741004046-7|Hardcover|I'll Never Forget What's'isname|2
366695929-6|Chance of a Lifetime, The|Special Bulletin|66
677667737-9|Seaside (Bord de Mer)|Angriest Man in Brooklyn, The|42
775000842-X|Manhunt|Thirty-Nine Steps, The|95
993493195-8|Key, The|Palme|67
163863565-X|Doggiewoggiez! Poochiewoochiez!|Earth vs. the Spider|58
452366344-0|Fly Away (Bis zum Horizont, dann links!)|Rosso|49
769534712-4|Crusades, The|Love Affair, or the Case of the Missing Switchboard Operator (Ljubavni slucaj ili tragedija sluzbenice P.T.T.)|76
895560858-6|Bride of the Wind|Vicky Cristina Barcelona|46
326716437-0|Wishmaster|Nazi Officer's Wife, The|83
767156227-0|West (Occident)|Killers, The|55
435793073-1|Fuse (Gori vatra)|Stars in My Crown|64
716054499-4|Kagemusha|Presenting Lily Mars|62
223280293-0|Nun, The (La religieuse)|Exit Wounds|26
984590469-6|Love Story|Inside (À l'intérieur)|97
133213519-6|Beast with Five Fingers, The|Kids Are All Right, The|76
517252644-7|Good Marriage, A (Beau mariage, Le)|BloodRayne: The Third Reich|58
077793799-9|Ricky Rapper (Risto Räppääjä)|Five-Year Engagement, The|31
